location,total_cases,population
Sint Maarten (Dutch part),,43421.0
Slovakia,2190599.0,5449270.0
Slovenia,902744.0,2078723.0
Solomon Islands,7940.0,703995.0
Somalia,26351.0,16359500.0
South Africa,3683172.0,60041996.0
South America,54622339.0,434260137.0
South Korea,4456264.0,51305184.0
South Sudan,16999.0,11381377.0
Spain,11100428.0,46745211.0
Sri Lanka,649632.0,21497306.0
Sudan,61569.0,44909351.0
Suriname,78487.0,591798.0
Sweden,2455966.0,10160159.0
Switzerland,2890568.0,8715494.0
Syria,54963.0,18275704.0
Taiwan,20797.0,23855008.0
Tajikistan,17786.0,9749625.0
Tanzania,33620.0,61498438.0
Thailand,3026695.0,69950844.0
Timor,22741.0,1343875.0
Togo,36815.0,8478242.0
Tokelau,,1368.0
Tonga,898.0,106759.0
Trinidad and Tobago,129963.0,1403374.0
Tunisia,1005167.0,11935764.0
Turkey,14326217.0,85042736.0
Turkmenistan,,6117933.0
Turks and Caicos Islands,5867.0,39226.0
Tuvalu,,11925.0
Uganda,163383.0,47123533.0
Ukraine,5040518.0,43466822.0
United Arab Emirates,882477.0,9991083.0
United Kingdom,19172095.0,68207114.0
United States,79265726.0,332915074.0
Upper middle income,119982863.0,2513672790.0
Uruguay,853170.0,3485152.0
Uzbekistan,236840.0,33935765.0
Vanuatu,19.0,314464.0
Vatican,29.0,812.0
Venezuela,516578.0,28704947.0
Vietnam,4232520.0,98168829.0
Wallis and Futuna,454.0,11094.0
World,445129499.0,7874965730.0
Yemen,11775.0,30490639.0
Zambia,313744.0,18920657.0
Zimbabwe,239019.0,15092171.0
